,TimeStamp,Title,Years of Experiences ,Salary,Date of Salary,What Is your Company,Work Type,Work Hour,City of Company site
634,2024-02-23 07:42:39.581000,Senior iOS developer ,4,31000,2024-01-01 00:00:00,Egyption,On Site,Full Time,Cairo 
636,2024-02-23 07:58:38.764000,Python developer ,2,22000,2023-12-01 00:00:00,Egyption,Hybird,Full Time,Cairo
637,2024-02-23 08:16:24.234000,Automation Engineer ,1,6000,2024-02-01 00:00:00,Egyption,On Site,Full Time,Cairo 
639,2024-02-23 08:23:43.194000,Laravel Full stack Developer,1,7000,2024-02-23 00:00:00,Egyption,Hybird,Full Time,Giza
640,2024-02-23 08:24:41.628000,Frontend Developer ,1,8000,2024-02-12 00:00:00,Egyption,On Site,Full Time,"6 october, cairo"
642,2024-02-23 08:28:49.798000,Administration ,8,10000,2024-02-01 00:00:00,Egyption,Monthly ,Full Time,Cairo
643,2024-02-23 08:36:24.103000,Senior iOS developer ,5,38000,2024-02-23 00:00:00,Egyption,Hybird,Full Time,Cairo
644,2024-02-23 08:40:45.257000,Ui Ux ,1,2000,2024-02-23 00:00:00,Egyption,On Site,Full Time,
645,2024-02-23 08:44:55.218000,Software Engineer,4,30000,2024-01-01 00:00:00,Dubai,Remotley,Full Time,Dubai
646,2024-02-23 08:46:34.724000,Junior business analyst ,1,8000,2024-01-01 00:00:00,Egyption,On Site,Full Time,Giza
650,2024-02-23 08:53:14.342000,Front end developer,1 year,5000,2024-11-30 00:00:00,Egyption,On Site,Full Time,
651,2024-02-23 08:54:28.191000,sr Frontend developer,4,18000,2024-01-01 00:00:00,Egyption,Hybird,Full Time,shrouq
652,2024-02-23 08:57:20.296000,Sales,5,3000,2024-02-21 00:00:00,Egyption,On Site,Full Time,Oman
655,2024-02-23 09:08:19.127000,Mfesh mn mfesh,36,1300 egp,2024-02-23 00:00:00,Kofar qoreesh company ,On Site,Full Time,Abo atata
657,2024-02-23 09:11:55.932000,technical office engineer,1,8000,2024-02-23 00:00:00,Egyption,Hybird,Full Time,cairo
658,2024-02-23 09:12:59.683000,Graphic designer,2,5000,2024-02-23 00:00:00,Egyption,On Site,Full Time,Alexanderia
659,2024-02-23 09:15:42.240000,Collection  officer ,1,6000,2024-02-23 00:00:00,Egyption,On Site,Full Time,Cairo
661,2024-02-23 09:16:15.665000,Hr special ,0-1,6500,2024-02-23 00:00:00,Egyption,On Site,Full Time,Cairo
663,2024-02-23 09:26:28.603000,nnn,6 month,2,2024-02-25 00:00:00,Egyption,On Site,Full Time,
666,2024-02-23 09:32:49.693000,Quality control manger ,2,6000,2022-08-01 00:00:00,Egyption,On Site,Full Time,Cairo
669,2024-02-23 09:37:08.648000,Junior Fullstack Developer Laravel Vue,0.5,8000,2023-10-15 00:00:00,Egyption,On Site,Full Time,Nasr city
670,2024-02-23 09:37:10.790000,Data Scientist,1,30000,2024-02-23 00:00:00,Egyption,Hybird,Full Time,Cairo
671,2024-02-23 09:38:05.082000,Cybersecurity Engineer,1,17600,2024-01-25 00:00:00,Egyption,Hybird,Full Time,Cairo
672,2024-02-23 09:38:58.488000,B2b2c customer portal senior specialist ,3,35000,2024-03-01 00:00:00,Egyption,On Site,Full Time,Cairo
673,2024-02-23 09:39:11.311000,Agriculture engineering ,0,4000,2024-01-31 00:00:00,Egyption,On Site,Full Time,Alexandria 
675,2024-02-23 09:48:11.578000,Coding Writer (Data Processing),9,35000 L.E,2022-11-01 00:00:00,Egyptian and side out of Egypt,On Site,Full Time,Riyadh
676,2024-02-23 09:50:13.217000,Data Analytics Engineer ,1,750 usd,2024-02-22 00:00:00,Egyption,Hybird,Full Time,"Cairo, Switzerland "
677,2024-02-23 09:51:32.215000,Full stack web developer,1,7000,2023-07-09 00:00:00,Egyption,On Site,Full Time,Cairo
678,2024-02-23 09:51:32.308000,embedded software engineer ,1,12000,2024-02-28 00:00:00,Egyption,On Site,Full Time,cairo
681,2024-02-23 09:57:16.090000,Dot net developer,7,53050,2024-02-26 00:00:00,Egyption,Hybird,Full Time,Cairo
685,2024-02-23 10:03:09.555000,Senior quality control,7,69000,2024-01-01 00:00:00,Egyption,Hybird,Full Time,kaa
686,2024-02-23 10:12:06.444000,Full stack Engineer ,8 months,11000,2023-09-30 00:00:00,Egyption,On Site,Full Time,"Alexandria, Egypt"
688,2024-02-23 10:14:34.558000,Full stack software engineer ,2,25000,2024-01-30 00:00:00,Egyption,Hybird,Full Time,Cairo
689,2024-02-23 10:15:27.764000,Senior Java Developer ,4,40000 egp,2025-01-30 00:00:00,Egyption,Remotley,Full Time,Cairo 
692,2024-02-23 10:24:42.778000,Penetration tester ,1,15000,2023-10-01 00:00:00,Egyption,Hybird,Full Time,Cairo
693,2024-02-23 10:27:10.618000,Nodejs developer,1 year but i am still undergraduate ,7000,2023-09-05 00:00:00,Egyption,Hybird,Full Time,"Cairo, maadi"
694,2024-02-23 10:28:33.146000,Senior Project Manager,10,EGP61000,2024-02-22 00:00:00,Egyption,On Site,Full Time,Cairo
696,2024-02-23 10:29:24.003000,Oracle apex developer ,1,9500,2024-02-23 00:00:00,Egyption,On Site,Full Time,Cairo
697,2024-02-23 10:30:46.100000,KG teacher,1,1800,2024-02-05 00:00:00,Egyption,On Site,Full Time,Sadat city 
698,2024-02-23 10:36:29.637000,Teacher Assistant,5 months ,10000,2024-02-18 00:00:00,Egyption,On Site,Full Time,Giza
699,2024-02-23 10:37:44.010000,Digital marketing ,1,2000,2024-02-29 00:00:00,Egyption,On Site,Full Time,Tanta
700,2024-02-23 10:40:36.229000,English teacher,0,2500,2024-02-29 00:00:00,Egyption,On Site,Full Time,Cairo
701,2024-02-23 10:47:38.155000,. Net Developer ,9 months,15000,2023-06-01 00:00:00,Egyption,On Site,Full Time,New cairo
703,2024-02-23 10:51:26.920000,.n,Nursing ,3500,2024-02-23 00:00:00,Egyption,On Site,Full Time,
705,2024-02-23 10:55:16.282000,Accounting Manager,3,20000,2024-01-01 00:00:00,Egyption,On Site,Full Time,Alexandria
707,2024-02-23 10:55:55.461000,PHP Developer,1,6000,1995-02-23 00:00:00,Egyption,On Site,Full Time,Alexandria
708,2024-02-23 10:57:16.877000,BI engineer ,3 months,14000,2024-02-23 00:00:00,Egyption,On Site,Full Time,Cairo 
709,2024-02-23 10:57:44.761000,Coding instructor,3 months,8000 per 8 days ,2023-12-01 00:00:00,Egyption,Remotley,Part Time,Cairo
710,2024-02-23 11:02:36.853000,Frontend Developer,2,10000,2023-11-11 00:00:00,Egyption,On Site,Full Time,6 of October 
711,2024-02-23 11:04:18.702000,Civil Procurement Engineer,5,25000,2024-01-01 00:00:00,Egyption,On Site,Full Time,Cairo
712,2024-02-23 11:06:46.517000,Medical representative ,1,6000,2024-02-01 00:00:00,Egyption,On Site,Full Time,"Alexandria, Egypt"
713,2024-02-23 11:07:17.555000,Senior mechanical quality control engineer ,10.5,28300,2024-02-01 00:00:00,Egyption,On Site,Full Time,Cairo
714,2024-02-23 11:10:44.050000,Senior accountant ,1.4 ,8500,2012-02-23 00:00:00,Egyption,On Site,Full Time,10th of ramadan
716,2024-02-23 11:16:25.756000,php pty js laravel ajax sql db html css ,12,35,2024-02-21 00:00:00,iuy,hjgu,Full Time,hjdth
717,2024-02-23 11:16:04.216000,Technical director ,19,40,2024-01-01 00:00:00,Egyption,Hybird,Full Time,Alexander 
718,2024-02-23 11:17:35.739000,Backend developer,2,20000,2023-12-01 00:00:00,Egyption,On Site,Full Time,Makram
719,2024-02-23 11:20:06.078000,Pharmacist ,5,4000,2023-02-01 00:00:00,Egyption,Hybird,Part Time,Mansoura
721,2024-02-23 11:24:16.185000,Front end intern ,<6 months ,300 usd,2024-02-22 00:00:00,Egyption,On Site,Full Time,
722,2024-02-23 11:25:20.721000,Hr clerk ,1,6000,2024-02-23 00:00:00,Egyption,On Site,Full Time,
723,2024-02-23 11:29:08.561000,WordPress developer,3,500$,2024-01-01 00:00:00,Egyption,On Site,Full Time,Cairo
724,2024-02-23 11:31:45.461000,Developer,4,20,2024-02-26 00:00:00,Egyption,On Site,Full Time,Cairo
726,2024-02-23 11:34:27.710000,junior frontend developer,3,6000,2024-01-31 00:00:00,Egyption,On Site,contract without an ending date and the owner is saudian and also I don't know a lot about the company so you can search about it if you want to : https://findingfromegy.net,alexandria
727,2024-02-23 11:35:10.469000,laptop maintinance,23,6000,1995-03-06 00:00:00,Egyption,On Site,Part Time,mansoura
728,2024-02-23 11:35:10.499000,Php developer ,0,6000,2024-02-23 00:00:00,Egyption,On Site,Full Time,
729,2024-02-23 11:38:33.503000,Physical Security Manager,20,42000,2022-08-01 00:00:00,Egyption,On Site,Full Time,Cairo
732,2024-02-23 11:41:15.940000,Devops & linux,5,30000,2024-02-23 00:00:00,Egyption,On Site,Full Time,
733,2024-02-23 11:41:51.618000,Oracle HCM Functional Consultant ,3 months ,13000,2023-12-17 00:00:00,Egyption,Hybird,Full Time,Cairo
734,2024-02-23 11:42:18.119000,Accountant,10,18000,2024-02-23 00:00:00,Egyption,On Site,Full Time,Cairo 
737,2024-02-23 11:47:10.498000,performance analyst,1,19000 gross,2024-02-01 00:00:00,Egyption,Hybird,Full Time,Cairo
739,2024-02-23 11:53:16.014000,DevOps Engineer ,1,12000 Egyptian pounds ,2024-02-23 00:00:00,Egyption,On Site,Full Time,Smart Village - Giza 
740,2024-02-23 11:56:05.604000,Marketing executive ,2,15000,2024-01-05 00:00:00,Egyption,On Site,Full Time,Cairo
742,2024-02-23 11:56:59.068000,IT Application Support Senior Specialist,6,20000,2023-02-01 00:00:00,Egyption,On Site,Full Time,Cairo
743,2024-02-23 11:58:15.949000,Senior Application Support Engineer,5,12000,2023-06-01 00:00:00,Egyption,Remotley,Full Time,Cairo
745,2024-02-23 12:01:00.034000,Social media specialist ,1,2750,2024-02-23 00:00:00,Egyption,On Site,Full Time,Benha 
746,2024-02-23 12:01:51.408000,Php developer ,A few weeks ,5000,2024-02-16 00:00:00,Egyption,On Site,Full Time,Giza
747,2024-02-23 12:02:05.533000,Banker ,2,7500,2024-02-25 00:00:00,Egyption,On Site,Full Time,Alexandria 
749,2024-02-23 12:03:29.504000,Software resting level 2,3,24k,2023-07-01 00:00:00,Egyption,Hybird,Full Time,Cairo
750,2024-02-23 12:09:43.987000,IT specialist ,4,10000,2024-02-25 00:00:00,Egyption,Hybird,Full Time,Giza
751,2024-02-23 12:09:49.877000,Seo specialist ,2,4000,2024-01-30 00:00:00,Egyption,On Site,Full Time,
753,2024-02-23 12:13:50.493000,Flutter Developer,6 monthes,8000 EGP net,2024-02-23 00:00:00,Egyption,Hybird,Full Time,Cairo
754,2024-02-23 12:13:54.477000,Asp.Net Backend Developer,0,4500,2024-03-05 00:00:00,Egyption,On Site,Full Time,Mansoura
755,2024-02-23 12:15:14.288000,Gis and survey,Fresh ,5000,2002-12-22 00:00:00,Egyption,On Site,Part Time,Cairo
757,2024-02-23 12:16:56.376000,Accountant,2,6000,2024-03-01 00:00:00,Egyption,Shop,Full Time,Kfs
762,2024-02-23 12:20:41.007000,Web,0,5000,2024-02-23 00:00:00,Egyption,On Site,Full Time,Cairo
764,2024-02-23 12:21:44.937000,Systems engineer ,<1,9000,2023-09-11 00:00:00,Egyption,On Site,Full Time,Cairo
765,2024-02-23 12:22:51.997000,Architect,0,8000,2024-02-22 00:00:00,Egyption,On Site,Full Time,Cairo
766,2024-02-23 12:27:30.614000,Graphic designer,1,7000,2023-06-16 00:00:00,Egyption,Remotley,Full Time,Cairo
767,2024-02-23 12:27:43.349000,Teaching Assistant architecture ,6,7400,2024-02-20 00:00:00,Egyption,On Site,Full Time,Alexandria 
768,2024-02-23 12:35:21.444000,front end,No years of experience... Recent graduation ,70000,2024-02-23 00:00:00,Egyption,On Site,Full Time,
771,2024-02-23 12:42:39.831000,React developer ,2,10000,2024-02-29 00:00:00,Egyption,Remotley,Full Time,Alex
772,2024-02-23 12:45:30.532000,Medical analysis specialist,6,1800,2024-02-23 00:00:00,Egyption,In door,Part Time,Elmahalla Elkoubra
774,2024-02-23 12:48:20.492000,C++,0,c++,2024-02-23 00:00:00,Egyption,On Site,Part Time,ismailia 
775,2024-02-23 12:48:36.474000,Medical representative ,1,10000,2024-02-23 00:00:00,Egyption,On Site,Full Time,Alexandria 
776,2024-02-23 12:49:36.374000,Homeroom teacher ,8,13000,2024-09-01 00:00:00,Egyption,On Site,Full Time,Cairo
777,2024-02-23 12:52:47.807000,Medical representative ,0,4500,2024-03-01 00:00:00,Egyption,On Site,Part Time,Luxor 
779,2024-02-23 12:55:05.081000,Senior java software engineer ,2,70,2024-01-01 00:00:00,Egyption,Hybird,Full Time,Cairo
780,2024-02-23 12:55:10.856000,Application support engineer ,5,23000,2024-02-28 00:00:00,Egyption,On Site,Full Time,Cairo
782,2024-02-23 13:01:09.256000,Quality Control chemist at pharmaceutical company ,7,5000,2024-02-28 00:00:00,Egyption,On Site,Full Time,Alexandria
783,2024-02-23 13:02:47.616000,Devops Engineer,2,34000,2023-01-30 00:00:00,Egyption,Remotley,Full Time,Cairo
784,2024-02-23 13:03:23.526000,Quality Assurance Engineer,3,11000,2024-02-23 00:00:00,Egyption,On Site,Full Time,Cairo
785,2024-02-23 13:06:09.407000,Engineer,4,30000,2024-02-23 00:00:00,Egyption,On Site,Full Time,Cairo
788,2024-02-23 13:10:02.775000,Application support lead ,11,37000,2024-02-23 00:00:00,Egyption,Hybird,Full Time,Cairo 
790,2024-02-23 13:12:34.094000,Site Engineer ,6,14000,2024-01-01 00:00:00,Egyption,On Site,Full Time,New administrative capital 
791,2024-02-23 13:13:00.987000,Android developer,3,23000,2023-08-24 00:00:00,Egyption,Hybird,Full Time,Cairo
795,2024-02-23 13:19:53.679000,Backend developer,1,10000,2024-02-23 00:00:00,Egyption,On Site,Full Time,Cairo
796,2024-02-23 13:22:45.915000,Senior Android developer ,5,60000,2024-01-01 00:00:00,Egyption,Remotley,Full Time,Cairo 
798,2024-02-23 13:27:43.850000,Site manager ,10,12584,2024-02-27 00:00:00,Egyption,On Site,Full Time,Cairo 
799,2024-02-23 13:30:17.526000,Lead,9,60000,2024-02-01 00:00:00,Egyption,Hybird,Full Time,Cairo
801,2024-02-23 13:30:57.190000,Teaching assistant,0.5,8000,2024-01-25 00:00:00,Egyption,On Site,Full Time,Giza
802,2024-02-23 13:31:01.525000,Junior Application support officer,2,15700,2024-02-01 00:00:00,Egyption,On Site,Full Time,Madinaty
804,2024-02-23 13:35:06.714000,Community Pharmacist ,2 years and 6 months ,7000 EGP/MONTH ,2024-05-01 00:00:00,Egyption,On Site,Full Time,Cairo
805,2024-02-23 13:36:52.942000,Seo specialist ,2,5000,2024-02-23 00:00:00,Egyption,On Site,Full Time,Mansoura 
806,2024-02-23 13:38:30.770000,Software Engineer,2,10k,2024-01-01 00:00:00,Egyption,On Site,Full Time,
807,2024-02-23 13:38:56.198000,Business Applications Support Team Leader ,7,18.000,2023-12-31 00:00:00,Egyption,On Site,Full Time,Alexandria
808,2024-02-23 13:41:15.145000,Accountant,7 years,12000,2024-03-20 00:00:00,Egyption,On Site,Full Time,Cairo
810,2024-02-23 13:44:43.634000,Senior copywriter,5,25000,2024-02-15 00:00:00,Egyption,On Site,Full Time,Cairo
811,2024-02-23 13:51:34.356000,Business applications support engineer ,1,12700,2023-08-01 00:00:00,Egyption,On Site,Full Time,Cairo 
813,2024-02-23 13:53:34.289000,Teacher Assistant,0,8000,2024-01-25 00:00:00,Egyption,On Site,Full Time,Giza
814,2024-02-23 13:53:45.184000,HRMS Senior specialist,2,21000,2024-02-23 00:00:00,Egyption,On Site,Full Time,Giza
815,2024-02-23 13:55:00.353000,Graphic designer ,3 years ,6000,2024-02-23 00:00:00,Egyption,On Site,Full Time,Cairo
817,2024-02-23 14:00:12.635000,Interior designer ,1,10000,2023-09-22 00:00:00,Egyption,Remotley,Part Time,Cairo
818,2024-02-23 14:00:31.821000,Wealth manager cib,3,15K ,2024-02-25 00:00:00,Egyption,On Site,Full Time,Cairo
819,2024-02-23 14:00:41.236000,Full-Stack Engineer,2,15000,2023-11-10 00:00:00,Egyption,Remotley,Full Time,
820,2024-02-23 14:00:43.956000,Business analyst,4,45000,1/24/0001,Egyption,Remotley,Full Time,Cairo
821,2024-02-23 14:01:52.829000,Junior Python Developer,1,35000,2024-01-01 00:00:00,Egyption,Hybird,Full Time,Mansoura
822,2024-02-23 14:02:33.839000,QC QA mechanical engineer ,8,20000,2024-02-23 00:00:00,Egyption,On Site,Full Time,Cairo 
823,2024-02-23 14:05:44.601000,Frontend (React developer),3,15500,2024-02-23 00:00:00,Egyption,Remotley,Full Time,Cairo
824,2024-02-23 14:08:06.750000,Data Science & Analytics,0.8,3,2024-02-01 00:00:00,Egyption,Hybird,Part Time,Cairo
826,2024-02-23 14:10:21.369000,Blockchain Developer (Web3),9,420000,2024-01-01 00:00:00,Egyption,Remotley,Full Time,New York
827,2024-02-23 14:11:21.881000,Bancassurance ,2.5,5000,2024-01-25 00:00:00,Egyption,Hybird,Full Time,
829,2024-02-23 14:12:53.006000,Junior Application Support  ,2,16800,2024-02-01 00:00:00,Egyption,On Site,Full Time,Cairo
831,2024-02-23 14:15:54.891000,Data Scientist ,1,7000,2024-02-01 00:00:00,Egyption,Hybird,Full Time,Cairo
832,2024-02-23 14:19:11.154000,Software Engineer,1,500 USD,2024-02-23 00:00:00,Egyption,Remotley,Full Time,cairo
834,2024-02-23 14:20:19.737000,Application Support specialist ,1,17550,2024-02-23 00:00:00,Egyption,Hybird,Full Time,Cairo 
836,2024-02-23 14:27:01.048000,General Accountan ,3,9300,2024-02-01 00:00:00,Egyption,On Site,Full Time,
837,2024-02-23 14:27:03.122000,Linux System administrator ,1,5000,2024-02-01 00:00:00,Egyption,On Site,Full Time,
838,2024-02-23 14:27:03.239000,Php backend developer ,1,5000,2024-02-23 00:00:00,Egyption,Remotley,Full Time,6 October 
839,2024-02-23 14:28:45.905000,Application Support Engineer ,2,15,2023-12-01 00:00:00,Egyption,On Site,Full Time,Cairo 
840,2024-02-23 14:29:15.985000,Accountant ,3,8000,2024-02-01 00:00:00,Egyption,On Site,Full Time,Cairo 
841,2024-02-23 14:29:32.499000,Data Analyst,1,17000,2024-03-01 00:00:00,Egyption,Hybird,Full Time,Cairo
842,2024-02-23 14:32:03.222000,Technical Support Engineer,7,14500,2024-01-26 00:00:00,Egyption,On Site,Full Time,New Cairo
843,2024-02-23 14:32:33.317000,Senior Outsystems developer ,6,53000,2024-02-23 00:00:00,Egyption,On Site,Full Time,Cairo 
844,2024-02-23 14:32:34.046000,Senior full stack java,6,22000 EGP,2023-08-01 00:00:00,Egyption,Hybird,Full Time,"Giza, smart village"
846,2024-02-23 14:37:41.591000,English teacher at international school ,4,14,2024-02-23 00:00:00,Egyption,On Site,Full Time,Cairo
847,2024-02-23 14:39:51.489000,Graphic designer,2,8000 per month,2024-02-29 00:00:00,Egyption,On Site,Full Time,Cairo
848,2024-02-23 14:40:36.451000,Mechanical engineer,4,12000,2024-02-01 00:00:00,Egyption,Hybird,Full Time,Nasr city
849,2024-02-23 14:41:30.322000,MERN stack developer,6 months,7500,2024-01-02 00:00:00,Egyption,On Site,Full Time,cairo
853,2024-02-23 14:47:07.502000,Data Management Engineer ,3,10000,2024-02-01 00:00:00,Egyption,On Site,Full Time,Cairo
854,2024-02-23 14:48:15.647000,Senior Quality Architect ,5,20000,2024-01-27 00:00:00,Egyption,On Site,Full Time,Elgouna 
855,2024-02-23 14:48:16.540000,Senior Flutter Developer,3,60000,2024-01-01 00:00:00,Egyption,Hybird,Full Time,Cairo
857,2024-02-23 14:48:34.226000,Full stack .net developer,1,10000,2024-02-27 00:00:00,Egyption,On Site,Full Time,cairo
858,2024-02-23 14:48:35.252000,Full-Stack Developer,1,14000,2024-01-01 00:00:00,Egyption,On Site,Full Time,Cairo
859,2024-02-23 14:49:26.906000,Database Administrator ,1,12000,2023-03-01 00:00:00,Egyption,On Site,Full Time,Cairo
862,2024-02-23 14:55:17.282000,MERN full stack developer ,3,28000,2024-01-01 00:00:00,Egyption,On Site,Full Time,Cairo
863,2024-02-23 14:56:03.005000,Art instructor ,6,7000,2024-02-12 00:00:00,Egyption,On Site,Part Time,Cairo
864,2024-02-23 14:56:46.393000,Backend developer ,1,500$,2024-02-29 00:00:00,Egyption,Remotley,Full Time,
865,2024-02-23 14:59:41.825000,Oracle fusion administrator ,2.5,11500,2024-02-27 00:00:00,Egyption,On Site,Full Time,Alex
867,2024-02-23 15:06:11.164000,Back End Developer (Ruby on Rails),2,26000 EGP,2024-02-23 00:00:00,Egyption,Remotley,Full Time,
869,2024-02-23 15:08:01.222000,Jr java developer ,2,13,2024-02-23 00:00:00,Egyption,On Site,Full Time,Giza
870,2024-02-23 15:11:21.949000,Technical support engineer (software),3,10000,2024-02-23 00:00:00,Egyption,Remotley,Full Time,Cairo
871,2024-02-23 15:14:26.058000,Embedded Software Engineer,1,13000,2024-11-01 00:00:00,Egyption,Hybird,Full Time,Cairo
874,2024-02-23 15:19:42.777000,Senior system engineer ,5,30000,2024-02-01 00:00:00,Egyption,Hybird,Full Time,Cairo
875,2024-02-23 15:24:44.071000,front end developer,2,10000,2024-02-15 00:00:00,Egyption,Remotley,Full Time,Cairo
877,2024-02-23 15:25:22.688000,AI engineer,5,25000,2024-02-23 00:00:00,Egyption,Hybird,Part Time,Cairo
878,2024-02-23 15:26:06.373000,Logistics Specialist ,4,7000,2024-02-23 00:00:00,Egyption,On Site,Full Time,Alexandria 
880,2024-02-23 15:27:43.757000,Java Full stack Developer,<1,11000,2024-02-23 00:00:00,Egyption,Hybird,Full Time,Cairo
881,2024-02-23 15:32:58.772000,Food,0,3000,2024-02-22 00:00:00,Egyption,Hybird,Full Time,Cairo
882,2024-02-23 15:33:16.703000,Software Quality Assurance Engineer,3 months,550 Jordanian Dinar,2024-02-27 00:00:00,Jordanian,On Site,Full Time,"Amman,Jordan"
883,2024-02-23 15:33:58.714000,community pharmacist ,2,3900,2024-02-01 00:00:00,Egyption,On Site,Full Time,Alexandria 
884,2024-02-23 15:39:44.388000,Sr. BI developer,6,33000,2024-01-01 00:00:00,Egyption,Remotley,Full Time,Cairo
885,2024-02-23 15:40:23.472000,Nurse,1,5000$,2024-02-09 00:00:00,Hospital in USA,On Site,Full Time,USA
887,2024-02-23 15:41:46.985000,It super visor,12,8000,2024-02-01 00:00:00,Egyption,On Site,Full Time,Cairo
888,2024-02-23 15:44:18.900000,Full stack developer (MERN) + React Native ,+3,16000,2024-03-03 00:00:00,Egyption,Hybird,Full Time,6 of October 
891,2024-02-23 15:57:22.716000,oracle consultant ,2,10K,2024-02-23 00:00:00,Egyption,On Site,Full Time,cairo
892,2024-02-23 15:58:02.112000,civil engineer,6,8000,2024-01-30 00:00:00,Egyption,On Site,Full Time,mansoura
893,2024-02-23 15:58:28.018000,Full stack developer ,2,12000,2024-02-23 00:00:00,Egyption,Hybird,Full Time,Cairo
894,2024-02-23 15:58:36.580000,Geologist ,6 months,7000,2024-02-23 00:00:00,Egyption,On Site,Full Time,Egypt 
896,2024-02-23 16:03:37.141000,React Software Engineer,1,20000,2024-02-29 00:00:00,Egyption,Hybird,Full Time,Cairo
897,2024-02-23 16:05:17.337000,Sales & social media Marketing specialist ,3,3800,2024-02-01 00:00:00,Egyption,On Site,Full Time,Alexandria 
898,2024-02-23 16:07:02.945000,Application support specialist ,1,15,2024-02-23 00:00:00,Egyption,On Site,Full Time,Cairo
900,2024-02-23 16:13:02.707000,Medical representative ,5,10000,2024-01-01 00:00:00,Egyption,Hybird,Full Time,Cairo 
901,2024-02-23 16:13:17.536000,Data Analyst ,1,17500,2023-05-15 00:00:00,Egyption,Hybird,Full Time,
903,2024-02-23 16:14:34.212000,Software Engineer ,2,11k Eg,2022-09-01 00:00:00,International in Egypt ( Huawei  GNOC) ,On Site,Full Time,"Egypt , Smart Village "
904,2024-02-23 16:15:27.624000,Approval manager,8,40000,2024-02-28 00:00:00,Egyption,On Site,Full Time,Cairo
907,2024-02-23 16:27:56.859000,Data modeler ,4,25000,2023-06-19 00:00:00,Egyption,Hybird,Full Time,
908,2024-02-23 16:31:54.147000,Embedded developer,10,700$,2024-01-28 00:00:00,Egyption with American customer ,Hybird,Full Time,Cairo
910,2024-02-23 16:39:20.428000,Data analysis ,1,10000,2024-02-20 00:00:00,Egyption,On Site,Full Time,Cairo
912,2024-02-23 16:57:07.411000,System integration developer ,2,20k,2024-02-01 00:00:00,Egyption,On Site,Full Time,Cairo
914,2024-02-23 17:05:27.177000,Mechanical site engineer ,8,30000,2024-02-23 00:00:00,Egyption,On Site,Full Time,Assiut 
915,2024-02-23 17:07:54.682000,JavaScript Developer ,3,30000,2023-11-01 00:00:00,Egyption,On Site,Full Time,
916,2024-02-23 17:09:57.385000,Oracle developer,3,24000,2024-01-01 00:00:00,Egyption,On Site,Full Time,CAIRO
917,2024-02-23 17:12:59.600000,Call center agent ,0,No specified ,2024-02-23 00:00:00,Egyption,On Site,Part Time,Jizah
919,2024-02-23 17:14:04.525000,Software Engineer ,0,12000,2024-01-01 00:00:00,Egyption,Hybird,Full Time,Cairo 
920,2024-02-23 17:18:15.567000,Data analyst ,1 years,6000,2024-01-15 00:00:00,Egyption,On Site,Full Time,Cairo
921,2024-02-23 17:18:34.036000,"Full-Stack Engineer(Spring, React)",less than 1,11000,2023-12-22 00:00:00,Egyption,Hybird,Full Time,
923,2024-02-23 17:20:19.977000,real estate graphic designer ,0,12500,2024-02-23 00:00:00,Egyptian-Saudi,On Site,Full Time,new cairo
924,2024-02-23 17:27:44.440000,Network Engineer ,10,43000,2024-01-25 00:00:00,Egyption,On Site,Full Time,Cairo 
925,2024-02-23 17:43:31.684000,Logistics Coordinator ,0.5,4000,2023-06-01 00:00:00,Egyption,Hybird,Full Time,cairo 
926,2024-02-23 18:04:23.610000,Qc chemist,3 years,6000,2024-02-01 00:00:00,Egyption,On Site,Full Time,Alexandria 
927,2024-02-23 18:17:55.508000,Frontend angular,2.5,7300,2024-02-28 00:00:00,Egyption,On Site,Full Time,Cairo
928,2024-02-23 18:31:03.237000,Software developer,0,7000,2024-01-15 00:00:00,Egyption,On Site,Full Time,Cairo
929,2024-02-23 18:36:59.157000,Machine learning Engineer,0,15000,2023-09-01 00:00:00,Egyption,Hybird,Full Time,Cairo
931,2024-02-23 18:40:06.998000,Java Developer,2,14000,2024-01-25 00:00:00,Egyption,On Site,Full Time,Alexanderia
933,2024-02-23 18:46:05.646000,Frontend engineer ,0,14500,2024-01-01 00:00:00,Egyption,Hybird,Full Time,Cairo
935,2024-02-23 18:52:34.094000,Dermatologist ,One year ,20000,2024-02-23 00:00:00,Egyption,On Site,Full Time,Cairo
936,2024-02-23 18:56:39.623000,.net developer,8 months,12000,2024-01-01 00:00:00,Egyption,Hybird,Full Time,Cairo
937,2024-02-23 18:57:16.032000,Application Support ,1.5,17k,2024-02-22 00:00:00,Egyption,Hybird,Full Time,Cairo 
938,2024-02-23 19:03:54.953000,English instructor ,3,14000,2024-01-01 00:00:00,Egyption,Remotley,Full Time,Cairo 
939,2024-02-23 19:12:31.056000,projects engineer ,1,8000,2024-02-23 00:00:00,Egyption,On Site,Full Time,cairo
940,2024-02-23 19:13:04.630000,Clinical information solutions specialist,12,26000,2024-02-01 00:00:00,Egyption,Hybird,Full Time,Cairo
941,2024-02-23 19:13:15.879000,Junior Asp.net corr developer ,0,10000,2024-02-23 00:00:00,Egyption,On Site,Full Time,Cairo 
942,2024-02-23 19:16:02.709000,Node.js Backend Developer,1,15000,2024-02-01 00:00:00,Egyption,Remotley,Full Time,Cairo
944,2024-02-23 19:29:34.697000,Java Developer ,1,12250,2023-07-04 00:00:00,Egyption,On Site,Full Time,Alexandria 
